Rank;Team;Continent;ELO - Rating;Avg Rank;Avg Rating;1Y Rank;1Y Rating;Matches Total;Home;Away;Neutral;Wins;Losses;Draws;Goals For;Goals Against;;
169;Philippines;Asia;1130;134;1069;14;83;382;191;123;158;93;232;57;401;987;;
170;Solomon Islands;Oceania;1128;146;1187;-27;-162;218;59;61;98;94;88;36;474;410;;
171;Puerto Rico;North America;1123;163;938;-3;-7;193;69;70;54;63;119;31;220;483;;
172;Yemen;Asia;1107;145;1211;0;13;284;53;84;147;61;169;54;274;571;;
173;Papua New Guinea;Oceania;1104;165;1092;2;21;160;26;42;92;65;78;30;345;344;;
174;Belize;North America;1086;138;1114;3;11;123;44;43;36;36;70;23;365;313;;
175;Grenada;North America;1074;99;1380;3;2;299;110;112;77;98;123;78;469;532;;
176;Andorra;Europe;1057;166;1340;-8;-47;218;89;98;31;114;175;29;72;521;;
177;Singapore;Asia;1056;134;1227;-8;-61;749;309;174;266;231;364;154;996;1355;;
178;Afghanistan;Asia;1056;168;907;-8;-58;155;8;61;86;36;83;36;147;319;;
179;Saint Kitts and Nevis;North America;1055;137;1177;-3;-25;243;116;78;49;101;97;45;413;373;;
180;Gibraltar;Europe;1054;179;1084;1;6;106;34;45;27;16;75;15;185;209;;
181;Vanuatu;Oceania;1046;156;1106;1;0;218;48;50;120;67;122;29;388;472;;
182;Saint Martin;North America;1045;187;983;11;103;79;17;33;29;30;40;9;126;131;;
183;Mauritius;Africa;1044;106;1338;5;32;338;113;146;93;65;167;106;428;641;;
184;São Tomé and Príncipe;Africa;1041;106;1383;-5;-342;24;24;24;18;10;14;9;140;110;;
185;Saint Lucia;North America;1036;125;1241;-13;-58;252;86;101;65;86;124;42;354;461;;
186;Somaliland;Africa;1002;188;1001;2;0;2;0;0;2;0;1;0;4;6;;
187;Western Sahara;Africa;996;189;996;3;0;1;0;1;0;0;1;0;0;6;;
188;Dominica;North America;973;130;1202;-3;-41;240;68;96;76;59;128;53;282;476;;
189;Barbados;North America;957;120;1242;5;19;365;131;70;113;158;94;84;467;600;;
190;Montserrat;North America;951;191;638;-6;-70;72;15;32;17;47;15;8;75;232;;
191;Greenland;North America;946;185;976;1;0;22;7;3;5;6;16;1;35;50;;
192;Nepal;Asia;942;191;886;9;53;290;75;83;132;68;171;51;246;666;;
193;Myanmar;Asia;938;133;1233;4;19;531;104;133;294;210;223;98;858;1091;;
194;Sint Maarten;North America;934;187;908;9;79;71;16;26;24;31;39;11;101;190;;
195;Djibouti;Africa;932;177;874;0;-1;113;28;36;49;10;96;11;79;402;;
196;Bangladesh;Asia;925;182;978;0;-9;316;87;88;141;84;163;69;282;568;;
197;Antigua and Barbuda;North America;919;144;1182;-11;-93;280;113;100;67;95;133;52;393;484;;
198;Somalia;Africa;915;165;1078;0;9;138;10;40;88;14;105;19;73;352;;
199;Aruba;North America;914;124;1202;-10;-84;199;82;76;41;49;108;42;285;454;;
200;Taiwan;Asia;913;144;1172;-2;7;330;91;104;135;94;185;51;456;764;;
201;Liechtenstein;Europe;907;167;1120;-10;-51;247;111;119;17;18;197;32;101;686;;
202;Monaco;Europe;903;199;900;-2;0;9;0;1;8;4;2;3;11;15;;
203;Maldives;Asia;891;191;887;-1;-5;229;59;77;93;65;126;38;282;546;;
204;Seychelles;Africa;851;182;979;-1;-4;181;48;57;76;24;125;32;138;394;;
205;San Marino;Europe;846;195;919;7;69;216;104;105;7;3;202;11;39;853;;
206;Bonaire;North America;838;149;1038;0;10;99;17;52;30;23;64;12;110;246;;
207;Cambodia;Asia;836;159;1056;-2;-6;306;75;88;143;68;195;43;347;791;;
208;Cayman Islands;North America;829;183;1006;1;30;122;55;37;30;24;74;24;202;347;;
209;Pakistan;Asia;822;152;1113;-2;-5;274;59;91;124;61;165;48;257;613;;
210;Bahamas;North America;793;211;880;-2;-24;82;29;29;24;17;54;11;87;197;;
211;Chagos Islands;Asia;785;211;787;0;0;4;0;0;0;4;1;2;1;9;;
212;Sint Eustatius;North America;757;205;754;1;0;9;1;8;0;4;2;1;25;18;;
213;Tuvalu;Oceania;756;205;745;1;0;34;0;4;30;9;21;4;47;182;;
214;Sri Lanka;Asia;732;179;907;3;25;270;60;86;124;50;172;48;254;674;;
215;Samoa;Oceania;730;212;657;0;-15;77;28;15;34;23;50;4;109;279;;
216;Mongolia;Asia;729;189;845;-6;-62;97;20;36;41;21;65;11;98;270;;
217;Saint Barthélemy;North America;725;217;705;-1;0;10;7;3;0;4;5;1;25;29;;
218;Guam;Oceania;712;207;694;4;32;128;25;42;61;30;85;13;161;577;;
219;Wallis and Futuna;Oceania;701;218;701;-1;0;24;0;5;5;5;19;5;23;109;;
220;Vatican;Europe;692;218;697;-1;0;5;0;0;5;0;3;2;1;6;;
221;Laos;Asia;684;186;896;4;19;229;45;67;117;41;153;35;231;725;;
222;St Pierre and Miquelon;North America;677;223;679;1;0;7;0;0;0;0;7;0;2;78;;
223;Saba;North America;671;223;673;1;0;6;5;1;0;1;3;2;14;18;;
224;Brunei;Asia;663;201;777;5;42;145;26;42;77;26;106;13;116;467;;
225;East Timor;Asia;657;226;625;6;47;87;5;45;37;10;69;8;79;274;;
226;Turks and Caicos Islands;North America;650;211;772;-6;-40;53;16;22;15;12;36;5;50;189;;
227;British Virgin Islands;North America;633;207;791;0;-21;130;34;58;38;20;87;23;113;388;;
228;Bhutan;Asia;632;219;598;4;25;107;18;37;52;11;88;8;62;387;;
229;Tibet;Asia;630;203;666;-1;0;10;3;7;0;0;7;0;8;38;;
230;Cook Islands;Oceania;623;206;683;-9;-62;105;6;4;14;38;39;4;50;276;;
231;Anguilla;North America;621;224;555;2;18;110;30;47;33;13;83;14;67;393;;
232;Macao;Asia;596;172;960;-7;-69;162;53;51;58;24;121;17;139;486;;
233;US Virgin Islands;North America;587;219;688;-3;-31;76;27;33;16;8;56;12;44;291;;
234;Falkland Islands;South America;571;229;586;0;0;4;0;1;3;0;4;0;0;25;;
235;FS Micronesia;Oceania;564;230;572;0;0;8;1;3;4;0;7;0;8;64;;
236;Kiribati;Oceania;545;219;579;0;0;11;0;2;9;0;10;1;7;126;;
237;Tonga;Oceania;521;213;655;1;40;70;10;15;45;16;48;6;82;465;;
238;Niue;Oceania;493;225;496;-1;0;2;0;0;2;0;1;0;8;9;;
239;Northern Mariana Islands;Oceania;432;236;515;0;-20;36;7;11;18;5;23;3;43;153;;
240;Palau;Oceania;403;236;403;0;0;2;2;0;0;0;2;0;3;7;;
241;Eastern Samoa;Oceania;389;225;469;0;12;57;0;15;42;5;50;2;34;374;;
;;;;;;;;;;;;;;;;;;
